source,hero,ability,binding,type,url,local_path,status,error,width,height,mime
paragon-archive,,Abilities Icons Sevarog Colossal Blow.svg,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/6/6b/Abilities_Icons_Sevarog_Colossal_Blow.svg/revision/latest?cb=20160329160357,Paragon_Archive\Abilities Icons Sevarog Colossal Blow.svg,ok,,512,533,image/svg+xml
paragon-archive,,Abilities Icons Sevarog Hammer.svg,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/c/c2/Abilities_Icons_Sevarog_Hammer.svg/revision/latest?cb=20160329160402,Paragon_Archive\Abilities Icons Sevarog Hammer.svg,ok,,512,805,image/svg+xml
paragon-archive,,Abilities Icons Sevarog Phantom Rush.svg,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/3/3e/Abilities_Icons_Sevarog_Phantom_Rush.svg/revision/latest?cb=20160329160408,Paragon_Archive\Abilities Icons Sevarog Phantom Rush.svg,ok,,512,512,image/svg+xml
paragon-archive,,Abilities Icons Sevarog Siphon.svg,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/7/7c/Abilities_Icons_Sevarog_Siphon.svg/revision/latest?cb=20160329160414,Paragon_Archive\Abilities Icons Sevarog Siphon.svg,ok,,512,515,image/svg+xml
paragon-archive,,Abilities Icons Sevarog Soul Tap.svg,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/c/cf/Abilities_Icons_Sevarog_Soul_Tap.svg/revision/latest?cb=20160329160420,Paragon_Archive\Abilities Icons Sevarog Soul Tap.svg,ok,,512,478,image/svg+xml
paragon-archive,,Abilities Icons Sevarog Subjugate.svg,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/4/42/Abilities_Icons_Sevarog_Subjugate.svg/revision/latest?cb=20160329160431,Paragon_Archive\Abilities Icons Sevarog Subjugate.svg,ok,,512,510,image/svg+xml
paragon-archive,,Dekker E.png,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/6/68/Dekker_E.png/revision/latest?cb=20160319105116,Paragon_Archive\Dekker E.png,ok,,128,128,image/png
paragon-archive,,Dekker LMB.png,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/f/f1/Dekker_LMB.png/revision/latest?cb=20160319105121,Paragon_Archive\Dekker LMB.png,ok,,128,128,image/png
paragon-archive,,Dekker Pass.png,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/5/55/Dekker_Pass.png/revision/latest?cb=20160319105127,Paragon_Archive\Dekker Pass.png,ok,,128,128,image/png
paragon-archive,,Dekker Q.png,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/e/e6/Dekker_Q.png/revision/latest?cb=20160319105132,Paragon_Archive\Dekker Q.png,ok,,128,128,image/png
paragon-archive,,Dekker R.png,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/5/57/Dekker_R.png/revision/latest?cb=20160319105138,Paragon_Archive\Dekker R.png,ok,,128,128,image/png
paragon-archive,,Dekker RMB.png,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/6/64/Dekker_RMB.png/revision/latest?cb=20160319105143,Paragon_Archive\Dekker RMB.png,ok,,128,128,image/png
paragon-archive,,FengMao E.png,,,https://static.wikia.nocookie.net/paragon_gamepedia/images/a/af/FengMao_E.png/revision/latest?cb=20160319105149,Paragon_Archive\FengMao E.png,ok,,128,128,image/png
